Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	AT2RVenus	0.191088673	2.188882159	0.000706081
V2RRLuc	AT2RVenus	0.183203005	2.196114321	0.001766573
V2RRLuc	AT2RVenus	0.373404618	2.335690754	0.016122379
V2RRLuc	AT2RVenus	0.196130976	2.578196855	0.000768816
CaSRRLuc	CaSRVenus	0.168324954	0.081271681	0.023097474
CaSRRLuc	CaSRVenus	0.236695935	0.085506192	0.060564569
CaSRRLuc	CaSRVenus	0.24487378	0.098255268	0.038145867
CaSRRLuc	CaSRVenus	0.38754411	0.103329224	0.052043168
CaSRRLuc	CaSRVenus	0.131037995	0.114246476	0.016479523
CaSRRLuc	CaSRVenus	0.334105792	0.123275427	0.049640258
CaSRRLuc	CaSRVenus	0.11744991	0.131140058	0.021482499
CaSRRLuc	CaSRVenus	0.213820774	0.135532526	0.026254441
CaSRRLuc	CaSRVenus	0.223984677	0.16336405	0.015882402
CaSRRLuc	CaSRVenus	0.265945323	0.2186157	0.033297695
CaSRRLuc	CaSRVenus	0.276109226	0.246447224	0.022925656
CaSRRLuc	CaSRVenus	0.101202771	0.295565983	0.008560051
CaSRRLuc	CaSRVenus	0.134706512	0.335302523	0.001506485
CaSRRLuc	CaSRVenus	0.466524357	0.340003159	0.026874571
CaSRRLuc	CaSRVenus	0.344580306	0.369279559	0.011730561
CaSRRLuc	CaSRVenus	0.480927476	0.378442677	0.034559527
CaSRRLuc	CaSRVenus	0.365133398	0.380708705	0.007201817
CaSRRLuc	CaSRVenus	0.150718841	0.397209097	0.005790064
CaSRRLuc	CaSRVenus	0.130024544	0.480803014	0.009938494
CaSRRLuc	CaSRVenus	0.10471108	0.544431852	0.001099391
CaSRRLuc	AT1RVenus	0.158219637	0.212344155	0.008719427
CaSRRLuc	AT1RVenus	0.240240732	0.228501925	0.013278766
CaSRRLuc	AT1RVenus	0.1680259	0.232014295	0.015815543
CaSRRLuc	AT1RVenus	0.130081376	0.241171169	0.003029142
CaSRRLuc	AT1RVenus	0.516023284	0.281989548	0.019795001
CaSRRLuc	AT1RVenus	0.268826253	0.307612475	0.022049558
CaSRRLuc	AT1RVenus	0.20773186	0.312241914	0.005825943
CaSRRLuc	AT1RVenus	0.581867427	0.355015312	0.027659925
CaSRRLuc	AT1RVenus	0.058523815	0.442938405	0.004176739
CaSRRLuc	AT1RVenus	0.310664156	0.497206422	0.003361326
CaSRRLuc	V2RVenus	0.519199518	0.17722379	0.007593493
CaSRRLuc	V2RVenus	0.560839548	0.194157676	0.019736328
CaSRRLuc	V2RVenus	0.084774105	0.239829925	0.007943279
CaSRRLuc	V2RVenus	0.051396821	0.271920632	0.00825619
CaSRRLuc	V2RVenus	0.088767703	0.300402198	0.003203863
CaSRRLuc	V2RVenus	0.414169811	0.309176977	0.014265575
CaSRRLuc	V2RVenus	0.369490844	0.319908163	0.007826742
CaSRRLuc	V2RVenus	0.069806779	0.404761811	0.004186352
CaSRRLuc	V2RVenus	0.117091416	0.431171481	0.008438087
CaSRRLuc	V2RVenus	0.184238421	0.453127935	0.004270078
CaSRRLuc	V2RVenus	0.211324997	0.482538575	0.003105861
CaSRRLuc	b2AdRVenus	0.665576253	0.082623724	0.02700805
CaSRRLuc	b2AdRVenus	0.155505852	0.207064319	0.008615995
CaSRRLuc	b2AdRVenus	0.258804851	0.235992679	0.006646932
CaSRRLuc	b2AdRVenus	0.633602219	0.246344112	0.009143908
CaSRRLuc	b2AdRVenus	0.831516623	0.252019662	0.008036785
CaSRRLuc	b2AdRVenus	0.249343545	0.27213789	0.012853179
CaSRRLuc	b2AdRVenus	0.675461724	0.288500052	0.010212481
CaSRRLuc	b2AdRVenus	0.506641447	0.344162959	0.015905669
CaSRRLuc	b2AdRVenus	0.476723434	0.385725552	0.00027922
CaSRRLuc	b2AdRVenus	0.237995816	0.389620581	0.001154029
CaSRRLuc	b2AdRVenus	0.53331577	0.398401215	0.003150183
CaSRRLuc	b2AdRVenus	0.270209192	0.442301766	0.008232984
CaSRRLuc	CB1RVenus	0.669939835	0.197948272	0.028405642
CaSRRLuc	CB1RVenus	0.569504584	0.200214745	0.039588014
CaSRRLuc	CB1RVenus	0.372010507	0.231183641	0.019284008
CaSRRLuc	CB1RVenus	0.477570992	0.249143728	0.014495394
CaSRRLuc	CB1RVenus	0.342085954	0.260940808	0.002910541
CaSRRLuc	CB1RVenus	0.430541422	0.3123123	0.026630791
CaSRRLuc	CB1RVenus	0.319390232	0.386510877	0.008806603
CaSRRLuc	CB1RVenus	0.583547854	0.432938467	0.023376566
CaSRRLuc	CB1RVenus	0.305293141	0.460036617	0.00902662
CaSRRLuc	CB1RVenus	0.181081116	0.473860009	0.000959358
CaSRRLuc	AT2RVenus	0.032737834	0.21673175	0.009135118
CaSRRLuc	AT2RVenus	0.052200467	0.224642011	0.001619259
CaSRRLuc	AT2RVenus	0.08694787	0.227148778	0.004926772
CaSRRLuc	AT2RVenus	0.294693413	0.237342588	0.011569481
CaSRRLuc	AT2RVenus	0.422874732	0.252379987	0.025345215
CaSRRLuc	AT2RVenus	0.446589484	0.254756841	0.019210962
CaSRRLuc	AT2RVenus	0.185922032	0.273918845	0.016005554
CaSRRLuc	AT2RVenus	0.115480366	0.356671224	0.004102785
CaSRRLuc	AT2RVenus	0.228200224	0.360084982	0.007070382
CaSRRLuc	AT2RVenus	0.422925355	0.36251803	0.02168784
CaSRRLuc	AT2RVenus	0.124948472	0.374362161	0.000398765
CaSRRLuc	AT2RVenus	0.511361331	0.39586155	0.012123133
CaSRRLuc	AT2RVenus	0.236347476	0.453041551	0.015896472
CaSRRLuc	AT2RVenus	0.2270978	0.536328829	0.021097518
