Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	V2RVenus	1.160158	1.883508	0.109036
V2RRLuc	V2RVenus	0.3979503	1.935094	0.03571058
V2RRLuc	V2RVenus	0.3828754	1.981918	0.0333917
V2RRLuc	V2RVenus	2.288031	2.004945	0.1478108
V2RRLuc	V2RVenus	1.22116	2.015693	0.09064876
V2RRLuc	V2RVenus	1.189569	2.033656	0.1114339
V2RRLuc	V2RVenus	0.7118039	2.043207	0.05030994
V2RRLuc	V2RVenus	0.801946	2.066669	0.05156599
V2RRLuc	V2RVenus	0.5138158	2.114175	0.05263599
V2RRLuc	V2RVenus	0.6723894	2.20999	0.05099334
V2RRLuc	V2RVenus	0.5909793	2.217447	0.05054307
V2RRLuc	V2RVenus	0.7368606	2.244838	0.04919369
V2RRLuc	V2RVenus	0.3443339	2.296087	0.02007863
V2RRLuc	V2RVenus	1.164394	2.339254	0.08610207
V2RRLuc	V2RVenus	0.7266023	2.396661	0.05076864
V2RRLuc	V2RVenus	2.391263	2.400353	0.09929194
V2RRLuc	V2RVenus	0.136904	2.424378	0.001837127
V2RRLuc	V2RVenus	0.2549133	2.447486	0.01496063
V2RRLuc	V2RVenus	1.67269	2.46113	0.105893
V2RRLuc	V2RVenus	0.212557	2.462618	0.00873507
V2RRLuc	V2RVenus	1.625769	2.493647	0.1150993
V2RRLuc	V2RVenus	0.1295611	2.495719	0.009879042
V2RRLuc	V2RVenus	0.3139486	2.500105	0.02235173
V2RRLuc	V2RVenus	0.4007732	2.520782	0.0252034
V2RRLuc	V2RVenus	0.3059486	2.60079	0.02207455
V2RRLuc	V2RVenus	0.3578168	2.67217	0.02321405
V2RRLuc	V2RVenus	0.2663547	2.681338	0.02170552
V2RRLuc	V2RVenus	1.543666	2.686734	0.0860583
V2RRLuc	V2RVenus	0.4296511	2.694751	0.02004215
V2RRLuc	V2RVenus	0.5783629	2.737513	0.04249746
V2RRLuc	V2RVenus	0.7846265	2.747722	0.04327839
V2RRLuc	V2RVenus	0.3555064	2.762904	0.01440227
V2RRLuc	V2RVenus	0.8643804	2.764355	0.0460828
V2RRLuc	V2RVenus	0.6747121	2.770758	0.03954787
V2RRLuc	V2RVenus	0.2343927	2.813931	0.01087686
V2RRLuc	V2RVenus	0.3736306	2.827079	0.02633506
